college,state,cds_link1,cds_link2,cds_link3,cds_link4,cds_link5
LaGrange College,Georgia,N/A,,,,
Lanier Technical College,Georgia,N/A,,,,
Life University,Georgia,https://data.life.edu/university-data/,https://www.life.edu/wp-content/uploads/2014/08/CDS_2020-2021-.pdf,,,
Luther Rice College & Seminary,Georgia,N/A,,,,
Mercer University ,Georgia,N/A,,,,
Middle Georgia State University,Georgia,N/A,,,,
Morehouse College,Georgia,https://morehouse.edu/about/offices-and-services/data-analytics-institutional-research-and-effectiveness/common-data-set/,,,,
Morehouse School of Medicine,Georgia,N/A,,,,
Morris Brown College,Georgia,N/A,,,,
North Georgia Technical College,Georgia,N/A,,,,
Oconee Fall Line Technical College,Georgia,N/A,,,,
Ogeechee Technical College,Georgia,N/A,,,,
Oglethorpe University,Georgia,https://ir.oglethorpe.edu/common-data-set/,https://ir.oglethorpe.edu/common-data-set/common-data-set-2020-2021/,https://ir.oglethorpe.edu/common-data-set/cds-2019-2020/,,
Paine College,Georgia,N/A,,,,
Philadelphia College of Osteopathic Medicine,Georgia,N/A,,,,
Piedmont University,Georgia,N/A,,,,
Point University,Georgia,N/A,,,,
Portfolio Center,Georgia,N/A,,,,
Reinhardt University ,Georgia,https://www.reinhardt.edu/office-of-institutional-research-and-effectiveness/,,,,
Savannah College of Art and Design,Georgia,N/A,,,,
Savannah State University,Georgia,N/A,,,,
Savannah Technical College,Georgia,N/A,,,,
Shorter University,Georgia,N/A,,,,
South Georgia State College,Georgia,N/A,,,,
South Georgia Technical College,Georgia,N/A,,,,
South University,Georgia,N/A,,,,
Southeastern Technical College,Georgia,N/A,,,,
Southern Crescent Technical College,Georgia,N/A,,,,
Southern Regional Technical College,Georgia,N/A,,,,
Spelman College,Georgia,https://www.spelman.edu/about/institutional-research/common-data-set/index.html,,,,
Thomas University,Georgia,N/A,,,,
Toccoa Falls College,Georgia,N/A,,,,
Truett McConnell University,Georgia,N/A,,,,
University of Georgia,Georgia,https://oir.uga.edu/external_reports/cds/,,,,
University of North Georgia,Georgia,https://ung.edu/institutional-effectiveness-research-administration/institutional-research/common-data-set.php,,,,
University of Phoenix,Georgia,N/A,,,,
University of West Georgia,Georgia,https://www.westga.edu/administration/provost/iea/common-data-set.php,,,,
Valdosta State University,Georgia,https://www.valdosta.edu/administration/institutional-research/data-and-reports/common-data-set.php,,,,
Wesleyan College,Georgia,N/A,,,,
West Georgia Technical College,Georgia,N/A,,,,
Wiregrass Georgia Technical College,Georgia,N/A,,,,
Young Harris College,Georgia,https://www.yhc.edu/about/consumer-information/,,,,
Akamai University,Hawaii,N/A,,,,
Atlantic International University,Hawaii,N/A,,,,
Brigham Young University Hawaii,Hawaii,N/A,,,,
Chaminade University of Honolulu,Hawaii,N/A,,,,
Hawaii Community College,Hawaii,N/A,,,,
Hawaii Pacific University,Hawaii,N/A,,,,
Honolulu Community College,Hawaii,N/A,,,,
Institute of Clinical Acupuncture and Oriental Medicine,Hawaii,N/A,,,,
Kapiolani Community College,Hawaii,N/A,,,,
Kauai Community College,Hawaii,N/A,,,,
Leeward Community College,Hawaii,N/A,,,,
University of Hawaii Hilo,Hawaii,N/A,,,,
University of Hawaii Manoa,Hawaii,https://manoa.hawaii.edu/miro/reports/#efs-tooglepane-1-0,,,,
University of Hawaii Maui College,Hawaii,N/A,,,,
University of Hawaii West Oahu,Hawaii,https://westoahu.hawaii.edu/academics/surveys/,,,,
Windward Community College,Hawaii,N/A,,,,
Boise Bible College,Idaho,N/A,,,,
Boise State University,Idaho,https://www.boisestate.edu/ie/common-data-set-2022-23/,,,,
Brigham Young University,Idaho,N/A,,,,
College of Eastern Idaho,Idaho,N/A,,,,
College of Idaho,Idaho,N/A,,,,
College of Southern Idaho,Idaho,"https://www.csi.edu/institutional-effectiveness/institutional-research/common-data-set.aspx#:~:text=The%20Common%20Data%20Set%20(CDS,reporting%20burden%20on%20data%20providers.",,,,
College of Western Idaho,Idaho,N/A,,,,
Idaho College of Osteopathic Medicine,Idaho,N/A,,,,
Idaho State University,Idaho,https://www.isu.edu/institutionalresearch/Common%20Data%20Sets,,,,
Lewis-Clark State University,Idaho,https://www.lcsc.edu/ir/need-lc-state-data,,,,
McCall College,Idaho,N/A,,,,
New Saint Andrews College,Idaho,N/A,,,,
North Idaho College,Idaho,https://www.nic.edu/planning/institutional-research/,,,,
Northwest Nazarene University,Idaho,N/A,,,,
University of Idaho,Idaho,https://www.uidaho.edu/provost/ir/institutional-data/common-data-set,,,,
Adler University,Illinois,N/A,,,,
American InterContinental University,Illinois,N/A,,,,
American Islamic College,Illinois,N/A,,,,
Augustana College,Illinois,https://www.augustana.edu/academics/institutional-research/common-data-set,,,,
Aurora University,Illinois,https://aurora.edu/about/administration/institutional-research.html,,,,
Benedictine University,Illinois,https://ben.edu/institutional-research/,,,,
Black Hawk College,Illinois,N/A,,,,
Blackburn College,Illinois,N/A,,,,
Bradley University,Illinois,https://www.bradley.edu/offices/academic/institutionaleffectiveness/data/,,,,
Carl Sandburg College,Illinois,N/A,,,,
Chamberlain University,Illinois,N/A,,,,
Chicago State University,Illinois,N/A,,,,
College of DuPage,Illinois,N/A,,,,
College of Lake County,Illinois,N/A,,,,
Columbia College Chicago,Illinois,https://about.colum.edu/effectiveness/,,,,
Concordia University Chicago,Illinois,https://www.cuchicago.edu/academics/academic-resources/office-of-institutional-planning-and-effectiveness/,,,,
Danville Area Community College,Illinois,N/A,,,,
DePaul University,Illinois,https://irma.depaul.edu/FFPlus.asp?cont=cds,,,,
DeVry University,Illinois,N/A,,,,
Dominican University,Illinois,https://www.dom.edu/offices/oie/institutional-data/profile-and-common-data-set,,,,
East–West University,Illinois,N/A,,,,
Eastern Illinois University,Illinois,https://www.eiu.edu/ir/common_data_sets.php,,,,
Elgin Community College,Illinois,N/A,,,,
Elmhurst University,Illinois,N/A,,,,
Erikson Institute,Illinois,N/A,,,,
Eureka College,Illinois,N/A,,,,
Fox College,Illinois,N/A,,,,
Frontier Community College,Illinois,N/A,,,,
Governors State University,Illinois,https://www.govst.edu/IR/,https://www.govst.edu/uploadedFiles/About/University_Governance/gsu/CDS_2022-2023_Final.pdf,,,
Greenville University,Illinois,N/A,,,,
Harold Washington College,Illinois,N/A,,,,
Harper College,Illinois,N/A,,,,
Heartland Community College,Illinois,N/A,,,,
Highland Community College,Illinois,N/A,,,,
Illinois Central College,Illinois,N/A,,,,
Illinois College,Illinois,N/A,,,,
Illinois Institute of Technology,Illinois,https://www.iit.edu/oii/common-data-set,,,,
Illinois Media School,Illinois,N/A,,,,
Illinois State University,Illinois,https://prpa.illinoisstate.edu/data-center/reports/,,,,
Illinois Valley Community College,Illinois,N/A,,,,
Illinois Wesleyan University ,Illinois,https://www.iwu.edu/institutional-effectiveness/dataset/,https://digitalcommons.iwu.edu/instres_dataset/,,,
John A. Logan College,Illinois,N/A,,,,
John Wood Community College,Illinois,N/A,,,,
Joliet Junior College,Illinois,N/A,,,,
Judson University,Illinois,N/A,,,,
Kankakee Community College,Illinois,N/A,,,,
Kaskaskia College,Illinois,N/A,,,,
Kennedy–King College,Illinois,N/A,,,,
Kishwaukee College,Illinois,N/A,,,,
Knox College,Illinois,"https://www.knox.edu/offices/institutional-research/data-resources#:~:text=The%20Common%20Data%20Set%20(CDS,make%20the%20information%20publicly%20available.",,,,
Lake Forest College,Illinois,https://www.lakeforest.edu/about-us/reputation-rankings-and-facts/institutional-research,,,,
Lake Land College,Illinois,N/A,,,,
Lakeview College of Nursing,Illinois,N/A,,,,
Lewis and Clark Community College,Illinois,N/A,,,,
Lewis University,Illinois,https://lewisu.edu/welcome/offices/provost/OIRP/pdf/CDS_2022-2023.pdf,https://www.lewisu.edu/welcome/offices/provost/OIRP/pdf/CDS_2020-2021.pdf,https://www.lewisu.edu/welcome/offices/provost/OIRP/pdf/CDS_2019-2020.pdf,,
Lincoln Christian University,Illinois,N/A,,,,
Lincoln Land Community College,Illinois,N/A,,,,
Lincoln Tech,Illinois,N/A,,,,
Lincoln Trail College,Illinois,N/A,,,,
Loyola University Chicago,Illinois,https://www.luc.edu/oie/institutionaldata/commondataset/,,,,
Lutheran School of Theology at Chicago,Illinois,N/A,,,,
MacCormac College,Illinois,N/A,,,,
Malcolm X College,Illinois,N/A,,,,
McHenry County College,Illinois,N/A,,,,
McKendree University,Illinois,N/A,,,,
Methodist College,Illinois,N/A,,,,
Metropolitan Community College,Illinois,N/A,,,,
Midwest College of Oriental Medicine,Illinois,N/A,,,,
Midwest Technical Institute ,Illinois,N/A,,,,
Midwestern University,Illinois,N/A,,,,
Millikin University,Illinois,N/A,,,,
Monmouth College,Illinois,N/A,,,,
Moody Bible Institute,Illinois,https://stage-data.moody.edu/globalassets/eda-portal-page/cds_2020-2021.pdf,,,,
Moraine Valley Community College,Illinois,N/A,,,,
Morton College,Illinois,N/A,,,,
National Louis University,Illinois,N/A,,,,
National University of Health Sciences,Illinois,N/A,,,,
North Central College,Illinois,https://www.northcentralcollege.edu/sites/default/files/CDS_2021-2022%20220426.pdf,https://www.northcentralcollege.edu/sites/default/files/documents/2019-08/North%20Central%20College%202018-2019%20Common%20Data%20Set_0.pdf,,,
North Park University,Illinois,N/A,,,,
Northeastern Illinois University,Illinois,https://www.neiu.edu/about/office-of-institutional-research-and-assessment/data-digest/common-data-set,,,,
Northern Baptist Theological Seminary,Illinois,N/A,,,,
Northern Illinois University,Illinois,N/A,,,,
Northwestern College,Illinois,N/A,,,,
Northwestern University,Illinois,https://www.enrollment.northwestern.edu/data/common-data-set.html,,,,
Oakton College ,Illinois,N/A,,,,
Olive–Harvey College,Illinois,N/A,,,,
Olivet Nazarene University,Illinois,N/A,,,,
Olney Central College,Illinois,N/A,,,,
Pacific College of Oriental Medicine,Illinois,N/A,,,,
Parkland College,Illinois,N/A,,,,
Prairie State College,Illinois,N/A,,,,
Principia College,Illinois,N/A,,,,
Quincy University ,Illinois,https://www.quincy.edu/institutional-research/common-data-set/,,,,
Rasmussen College,Illinois,N/A,,,,
Rend Lake College,Illinois,N/A,,,,
Richard J. Daley College,Illinois,N/A,,,,
Richland Community College,Illinois,N/A,,,,
Rock Valley College,Illinois,https://rockvalleycollege.edu/about/consumer-information/institutional-research-and-effectiveness,,,,
Rockford Career College,Illinois,N/A,,,,
Rockford University,Illinois,N/A,,,,
Roosevelt University,Illinois,N/A,,,,
Rosalind Franklin University of Medicine and Science,Illinois,N/A,,,,
Rush University,Illinois,N/A,,,,
Saint Anthony College of Nursing,Illinois,N/A,,,,
Saint Xavier University,Illinois,N/A,,,,
Sauk Valley Community College,Illinois,N/A,,,,
School of the Art Institute of Chicago,Illinois,N/A,,,,
Shawnee Community College,Illinois,N/A,,,,
South Suburban College,Illinois,N/A,,,,
Southeastern Illinois College,Illinois,N/A,,,,
Southern Illinois University Carbondale,Illinois,https://irs.siu.edu/common-data-set/,,,,
Southern Illinois University Edwardsville,Illinois,N/A,,,,
Southwestern Illinois College,Illinois,N/A,,,,
Spertus Institute for Jewish Learning and Leadership,Illinois,N/A,,,,
Spoon River College,Illinois,N/A,,,,
State Community College of East Saint Louis,Illinois,N/A,,,,
Taylor Business Institute,Illinois,N/A,,,,
The Chicago School of Professional Psychology,Illinois,N/A,,,,
Toyota Technological Institute at Chicago,Illinois,N/A,,,,
Trinity Christian College,Illinois,N/A,,,,
Trinity International University ,Illinois,N/A,,,,
Triton College,Illinois,N/A,,,,
Truman College,Illinois,N/A,,,,
Universal Technical Institute,Illinois,N/A,,,,
University of Chicago,Illinois,https://data.uchicago.edu/common-data-set/,,,,
University of Illinois Chicago,Illinois,https://oir.uic.edu/common-data-set-3/,https://oir.uic.edu/wp-content/uploads/sites/213/2021/04/UIC-CDS_2019-2020forWeb.pdf,,,
University of Illinois Springfield,Illinois,https://www.uis.edu/institutional-research/common-data-sets,,,,
University of Illinois Urbana Champaign,Illinois,https://www.dmi.illinois.edu/stuenr/,,,,
University of Phoenix,Illinois,N/A,,,,
University of St. Francis,Illinois,N/A,,,,
VanderCook College of Music,Illinois,N/A,,,,
Wabash Valley College,Illinois,N/A,,,,
Waubonsee Community College,Illinois,N/A,,,,
Western Illinois University,Illinois,https://www.wiu.edu/irp/common_data_set.php,,,,
Wheaton College,Illinois,N/A,,,,
Wilbur Wright College,Illinois,N/A,,,,
Anabaptist Mennonite Biblical Seminary,Indiana,N/A,,,,
Anderson University,Indiana,N/A,,,,
Ball State University,Indiana,https://www.bsu.edu/about/administrativeoffices/oirds/data-analysis,,,,
Bethany Theological Seminary,Indiana,N/A,,,,
Bethel University,Indiana,N/A,,,,
Butler University,Indiana,https://www.butler.edu/academics/institutional-research/about-institutional-research/common-data-set/,,,,
Calumet College of St. Joseph,Indiana,N/A,,,,
Christian Theological Seminary,Indiana,N/A,,,,
College of Court Reporting,Indiana,N/A,,,,
Concordia Theological Seminary,Indiana,N/A,,,,
Crossroads Bible College,Indiana,N/A,,,,
DePauw University,Indiana,https://www.depauw.edu/offices/institutional-research/common-data-set/,,,,
DeVry University,Indiana,Closed,,,,
Earlham College,Indiana,https://earlham.edu/about/leadership-and-governance/administrative-departments/institutional-effectiveness/common-data-set/,,,,
Franklin College,Indiana,N/A,,,,
Goshen College,Indiana,https://www.goshen.edu/ir/common-data-set/,,,,
Grace College & Seminary,Indiana,N/A,,,,
Hanover College,Indiana,N/A,,,,
Holy Cross College,Indiana,N/A,,,,
Huntington University,Indiana,N/A,,,,
Indiana Institute of Technology,Indiana,N/A,,,,
Indiana State University,Indiana,https://irt2.indstate.edu/cms7/ir/index.cfm/isu-data/common-data-set/,,,,
Indiana University Bloomington,Indiana,https://iuia.iu.edu/apps/cds/,,,,
Indiana University East,Indiana,https://iuia.iu.edu/apps/cds/,,,,
Indiana University Fort Wayne,Indiana,N/A,,,,
Indiana University Kokomo,Indiana,https://iuia.iu.edu/apps/cds/,,,,
Indiana University Northwest,Indiana,https://iuia.iu.edu/apps/cds/,,,,
Indiana University Purdue University Columbus,Indiana,N/A,,,,
Indiana University Purdue University Indianapolis,Indiana,https://iuia.iu.edu/apps/cds/,,,,
Indiana University South Bend,Indiana,https://iuia.iu.edu/apps/cds/,,,,
Indiana University Southeast,Indiana,https://iuia.iu.edu/apps/cds/,,,,
Indiana Wesleyan University,Indiana,N/A,,,,
International Business College,Indiana,N/A,,,,
Ivy Tech Community College,Indiana,N/A,,,,
Lincoln Tech,Indiana,N/A,,,,
Manchester University,Indiana,N/A,,,,
Marian University,Indiana,N/A,,,,
Martin University,Indiana,N/A,,,,
Mid-America College of Funeral Service,Indiana,N/A,,,,
Oakland City University,Indiana,https://www.oak.edu/about/consumer-information/data-and-reports/,,,,
Purdue University,Indiana,https://www.purdue.edu/idata/products-services/common-data-set.php,,,,
Purdue University Fort Wayne,Indiana,https://www.pfw.edu/offices/institutional-research/statistical-reports/,,,,
Purdue University Global ,Indiana,N/A,,,,
Purdue University Northwest,Indiana,N/A,,,,
Rose-Hulman Institute of Technology,Indiana,https://www.rose-hulman.edu/academics/academic-affairs/irpa/reports/index.html,,,,
Saint Mary-of-the-Woods College,Indiana,N/A,,,,
Saint Mary's College,Indiana,https://www.saintmarys.edu/institutional-research/ir/common-data,,,,
Saint Meinrad Seminary and School of Theology ,Indiana,N/A,,,,
Taylor University,Indiana,https://www.taylor.edu/student-consumer-info,,,,
Trine University,Indiana,N/A,,,,
University of Evansville,Indiana,N/A,,,,
University of Indianapolis,Indiana,N/A,,,,
University of Norte Dame,Indiana,https://iris.nd.edu/institutional-research/common-data-set-cds/,,,,
University of Saint Francis ,Indiana,N/A,,,,
University of Southern Indiana,Indiana,https://www.usi.edu/institutional-analytics/institutional-data/common-data-set,,,,
Valparaiso University,Indiana,https://www.valpo.edu/institutional-effectiveness/institutional-research/common-data-set/,,,,
Veritas Baptist College,Indiana,N/A,,,,
Wabash College,Indiana,https://www.wabash.edu/institutional_research/common,,,,
Wabash College,Indiana,https://www.wabash.edu/institutional_research/common,,,,
Allen College,Iowa,N/A,,,,
Briar Cliff University,Iowa,N/A,,,,
Buena Vista University,Iowa,N/A,,,,
Central College,Iowa,https://departments.central.edu/registrar/other/common-data-set/,,,,
Clarke University,Iowa,https://www.clarke.edu/wp-content/uploads/CDS_2019-2020.pdf,,,,
Coe College,Iowa,N/A,,,,
Cornell College,Iowa,https://www.cornellcollege.edu/institutional-research/institutional-profile/common-data-sets.shtml,,,,
Des Moines Area Community College,Iowa,N/A,,,,
Des Moines University,Iowa,N/A,,,,
Divine Word College,Iowa,N/A,,,,
Dordt University,Iowa,N/A,,,,
Drake University,Iowa,https://www.drake.edu/oira/institutionalresearch/institutionaldata/commondatasetscds/,,,,
Eastern Iowa Community Colleges,Iowa,N/A,,,,
Ellsworth Community College ,Iowa,N/A,,,,
Emmaus Bible College,Iowa,https://www.emmaus.edu/institutional-effectiveness,,,,
Faith Baptist Bible College and Theological Seminary,Iowa,N/A,,,,
Graceland University ,Iowa,N/A,,,,
Grand View University,Iowa,N/A,,,,
Grinnell College,Iowa,https://www.grinnell.edu/about/leadership/offices-services/institutional-research/common-data-set,,,,
Hawkeye Community College,Iowa,N/A,,,,
Indian Hills Community College,Iowa,N/A,,,,
Iowa Central Community College,Iowa,N/A,,,,
Iowa Lakes Community College,Iowa,N/A,,,,
Iowa State University,Iowa,https://www.ir.iastate.edu/common-data-set,,,,
Iowa Western Community College,Iowa,N/A,,,,
Kirkwood Community College,Iowa,N/A,,,,
Loras College,Iowa,N/A,,,,
Luther College ,Iowa,https://www.luther.edu/offices/institutional-research/common-data-set,,,,
Maharishi International University,Iowa,N/A,,,,
Marshalltown Community College,Iowa,N/A,,,,
Mercy College of Health Sciences,Iowa,N/A,,,,
Morningside University,Iowa,N/A,,,,
Mount Mercy University,Iowa,N/A,,,,
North Iowa Area Community College,Iowa,N/A,,,,
Northeast Iowa Community College,Iowa,N/A,,,,
Northwest Iowa Community College,Iowa,N/A,,,,
Northwestern College,Iowa,N/A,,,,
Palmer College of Chiropractic,Iowa,N/A,,,,
Simpson College,Iowa,N/A,,,,
Southeastern Community College,Iowa,N/A,,,,
Southwestern Community College,Iowa,N/A,,,,
St. Ambrose University,Iowa,https://sau.edu/consumer-information/,,,,
St. Luke's College,Iowa,N/A,,,,
University of Dubuque,Iowa,N/A,,,,
University of Iowa,Iowa,https://uiowa.edu/search?terms=common%20data%20set,,,,
University of Northern Iowa,Iowa,"https://ie.uni.edu/data-trends/uni-facts#:~:text=The%20Common%20Data%20Set%20is,other%20descriptive%20data%20about%20UNI.",,,,
Upper Iowa University,Iowa,N/A,,,,
Waldorf University,Iowa,N/A,,,,
Wartburg College,Iowa,https://info.wartburg.edu/Reports/Institutional-Research-and-Effectiveness/Common-Data-Set,,,,
Wartburg Theological Seminary,Iowa,N/A,,,,
Western Iowa Tech Community College,Iowa,N/A,,,,
William Penn University,Iowa,N/A,,,,
Allen Community College,Kansas,N/A,,,,
Anabaptist Mennonite Biblical Seminary,Kansas,N/A,,,,
Baker University,Kansas,N/A,,,,
Barclay College,Kansas,N/A,,,,
Barton Community College,Kansas,N/A,,,,
Benedictine College,Kansas,N/A,,,,
Bethany College,Kansas,N/A,,,,
Bethel College,Kansas,N/A,,,,
Butler Community College,Kansas,N/A,,,,
Central Christian College,Kansas,https://www.centralchristian.edu/wp-content/uploads/2022/02/CCCK-CDS-2021-2022.pdf,,,,
Cleveland University Kansas City,Kansas,N/A,,,,
Cloud County Community College,Kansas,N/A,,,,
Coffeyville Community College,Kansas,N/A,,,,
Colby Community College,Kansas,N/A,,,,
Cowley Community College,Kansas,N/A,,,,
Dodge City Community College,Kansas,N/A,,,,
Donnelly College,Kansas,N/A,,,,
Emporia State University,Kansas,https://www.emporia.edu/office-institutional-effectiveness/institutional-research/common-data-set/,,,,
Flint Hills Technical College,Kansas,N/A,,,,
Fort Hays State University,Kansas,https://www.fhsu.edu/administrative/adminfin/budget-and-planning/common-data-set/,,,,
Fort Scott Community College,Kansas,N/A,,,,
Friends University,Kansas,N/A,,,,
Garden City Community College,Kansas,N/A,,,,
Haskell Indian Nations University,Kansas,N/A,,,,
Hesston College,Kansas,N/A,,,,
Highland Community College,Kansas,N/A,,,,
Hutchinson Community College,Kansas,N/A,,,,
Independence Community College,Kansas,N/A,,,,
Johnson County Community College ,Kansas,N/A,,,,
Kansas Christian College,Kansas,N/A,,,,
Kansas City Kansas Community College,Kansas,N/A,,,,
Kansas Health Science University–Kansas College of Osteopathic Medicine,Kansas,N/A,,,,
Kansas State University,Kansas,https://www.k-state.edu/data/institutional-research/resources/,,,,
Kansas Wesleyan University,Kansas,https://www.kwu.edu/about/consumer-information/,https://www.kwu.edu/wp-content/uploads/KWU_Common_Data_Set_2020-2021-1.pdf,,,
Labette Community College,Kansas,N/A,,,,
Manhattan Area Technical College,Kansas,N/A,,,,
Manhattan Christian College,Kansas,N/A,,,,
McPherson College,Kansas,N/A,,,,
MidAmerica Nazarene University,Kansas,N/A,,,,
Neosho County Community College ,Kansas,N/A,,,,
Newman University,Kansas,N/A,,,,
North Central Kansas Technical College,Kansas,N/A,,,,
Northwest Kansas Technical College,Kansas,N/A,,,,
Ottawa University,Kansas,N/A,,,,
Pittsburg State University,Kansas,https://www.pittstate.edu/oie/institutional-research.html,,,,
Pratt Community College,Kansas,N/A,,,,
Saint Mary's Academy and College,Kansas,N/A,,,,
Saint Paul School of Theology,Kansas,N/A,,,,
Salina Area Technical College,Kansas,N/A,,,,
Seward County Community College,Kansas,N/A,,,,
Southwestern College,Kansas,N/A,,,,
Sterling College,Kansas,N/A,,,,
Tabor College,Kansas,N/A,,,,
United States Army Command and General Staff College,Kansas,N/A,,,,
University of Kansas,Kansas,https://aire.ku.edu/common-data-set,,,,
University of Saint Mary,Kansas,N/A,,,,
Washburn Institute of Technology,Kansas,N/A,,,,
Washburn University,Kansas,https://www.washburn.edu/about/facts/institutional-research/Files/Surveys-documents/CDS_2023-2024_Final.pdf,https://www.washburn.edu/about/facts/institutional-research/Files/Surveys-documents/Common-Data-Set-2022-2023.pdf,https://www.washburn.edu/about/facts/institutional-research/Files/Surveys-documents/CDS_2021-22.pdf,,
Wichita State University,Kansas,https://www.wichita.edu/services/planning_and_analysis/ERD_Explanation.php,,,,
Wichita State University Campus of Applied Sciences and Technology,Kansas,N/A,,,,
Wichita Technical Institute,Kansas,N/A,,,,
Alice Lloyd College,Kentucky,N/A,,,,
American National University,Kentucky,N/A,,,,
Asbury Theological Seminary,Kentucky,N/A,,,,
Asbury University,Kentucky,N/A,,,,
Ashland Community and Technical College,Kentucky,N/A,,,,
Beckfield College,Kentucky,N/A,,,,
Bellarmine University,Kentucky,https://www.bellarmine.edu/academicaffairs/ir/data-reports/common-data-set/,,,,
Berea College,Kentucky,N/A,,,,
Big Sandy Community and Technical College,Kentucky,N/A,,,,
Bluegrass Community and Technical College,Kentucky,N/A,,,,
Boyce College,Kentucky,N/A,,,,
Brescia University,Kentucky,N/A,,,,
Campbellsville University,Kentucky,https://tigernet.campbellsville.edu/ICS/Academic_Affairs/Institutional_Research/Handouts.jnz,,,,
Centre College,Kentucky,https://www.centre.edu/about/college-policies-initiatives/common-data-set,,,,
Clear Creek Baptist Bible College,Kentucky,N/A,,,,
Eastern Kentucky University,Kentucky,https://www.eku.edu/search/?q=common%20data%20set#gsc.tab=0&gsc.q=common%20data%20set&gsc.page=1,,,,
Elizabethtown Community and Technical College ,Kentucky,N/A,,,,
Frontier Nursing University ,Kentucky,N/A,,,,
Gateway Community and Technical College,Kentucky,N/A,,,,
Georgetown College,Kentucky,N/A,,,,
Hazard Community and Technical College ,Kentucky,N/A,,,,
Henderson Community College ,Kentucky,N/A,,,,
Hopkinsville Community College,Kentucky,N/A,,,,
Jefferson Community and Technical College,Kentucky,N/A,,,,
Kentucky Christian University,Kentucky,N/A,,,,
Kentucky Mountain Bible College,Kentucky,N/A,,,,
Kentucky State University,Kentucky,https://www.kysu.edu/academics/institutional-research/common-data-sets.php,,,,
Kentucky Wesleyan College,Kentucky,https://kwc.edu/academics/institutional-effectiveness-and-research/data-request/,,,,
Lexington Theological Seminary,Kentucky,N/A,,,,
Lindsey Wilson College,Kentucky,N/A,,,,
Louisville Bible College,Kentucky,N/A,,,,
Louisville Presbyterian Theological Seminary,Kentucky,N/A,,,,
Madisonville Community College,Kentucky,N/A,,,,
Maysville Community and Technical College,Kentucky,N/A,,,,
Midway University,Kentucky,N/A,,,,
Morehead State University,Kentucky,https://www.moreheadstate.edu/about-msu/leadership/ppe/institutional-research/institutional-data/common-data-sets,,,,
Murray State University,Kentucky,https://www.murraystate.edu/about/administration/Provost/institutional-effectiveness/OfficeOfInstitutionalResearch/CommonDataSet.aspx,,,,
Northern Kentucky University,Kentucky,https://inside.nku.edu/ir/Reports.html,,,,
Owensboro Community and Technical College,Kentucky,N/A,,,,
Salmon P. Chase College of Law,Kentucky,N/A,,,,
Simmons College of Kentucky,Kentucky,N/A,,,,
Somerset Community College,Kentucky,N/A,,,,
Southcentral Kentucky Community and Technical College,Kentucky,N/A,,,,
Southeast Kentucky Community and Technical College,Kentucky,N/A,,,,
Southern Baptist Theological Seminary ,Kentucky,N/A,,,,
Spalding University,Kentucky,N/A,,,,
Strayer University,Kentucky,N/A,,,,
Sullivan University,Kentucky,N/A,,,,
Thomas More University,Kentucky,N/A,,,,
Transylvania University,Kentucky,N/A,,,,
Union Commonwealth University,Kentucky,N/A,,,,
University of Kentucky,Kentucky,https://www.uky.edu/irads/common-data-set,,,,
University of Kentucky College of Dentistry,Kentucky,N/A,,,,
University of Kentucky College of Law,Kentucky,N/A,,,,
University of Kentucky College of Medicine,Kentucky,N/A,,,,
University of Louisville,Kentucky,https://louisville.edu/oapa/institutional-research-and-planning/quick-facts/just-the-facts-publication,,,,
University of Louisville School of Dentistry,Kentucky,N/A,,,,
University of Louisville School of Law,Kentucky,N/A,,,,
University of Louisville School of Medicine ,Kentucky,N/A,,,,
University of Pikeville,Kentucky,https://www.upike.edu/academics/institutional-research/data-resources/,,,,
University of Pikeville Kentucky College of Osteopathic Medicine,Kentucky,N/A,,,,
University of the Cumberlands ,Kentucky,N/A,,,,
West Kentucky Community and Technical College,Kentucky,N/A,,,,
Western Kentucky University,Kentucky,https://www.wku.edu/instres/publications.php,,,,
American School of Business,Louisiana,N/A,,,,
Baton Rouge Community College,Louisiana,N/A,,,,
Blue Cliff College,Louisiana,N/A,,,,
Bossier Parish Community College,Louisiana,N/A,,,,
Centenary College of Louisiana,Louisiana,N/A,,,,
Central Louisiana Technical Community College,Louisiana,N/A,,,,
Delgado Community College,Louisiana,N/A,,,,
Delta College of Arts & Technology,Louisiana,N/A,,,,
Dillard University,Louisiana,https://www.dillard.edu/about/administration/academic-affairs/institutional-research-and-effectiveness/,,,,
Fletcher Technical Community College,Louisiana,N/A,,,,
Franciscan Missionaries of Our Lady University,Louisiana,N/A,,,,
Grambling State University,Louisiana,https://www.gram.edu/offices/ie/ir/surveys.php,,,,
ITI Technical College,Louisiana,N/A,,,,
Louisiana Baptist University and Theological Seminary,Louisiana,N/A,,,,
Louisiana Christian University,Louisiana,N/A,,,,
Louisiana Delta Community College,Louisiana,N/A,,,,
Louisiana State University Alexandria,Louisiana,N/A,,,,
Louisiana State University Baton Rouge,Louisiana,https://www.lsu.edu/data/common-data-set/index.php,,,,
Louisiana State University Eunice,Louisiana,N/A,,,,
Louisiana State University Shreveport,Louisiana,https://www.lsus.edu/community/institutional-effectiveness-and-planning,,,,
Louisiana Tech University,Louisiana,https://oierp.latech.edu/common-data-set/,,,,
Loyola University New Orleans,Louisiana,https://academicaffairs.loyno.edu/research/assessment/common-data-sets,,,,
LSU Health Sciences Center New Orleans,Louisiana,N/A,,,,
LSU Health Sciences Center Shreveport,Louisiana,N/A,,,,
